Time, Open, High, Low, Close, Volume
1588809600, 0.094140, 0.096990, 0.091500, 0.096020, 4943294.978487
1588896000, 0.096470, 0.096930, 0.092770, 0.093630, 2954531.222666
1588982400, 0.093640, 0.094900, 0.091880, 0.092210, 3529515.211104
1589068800, 0.092210, 0.092830, 0.078000, 0.081900, 9042139.340608
1589155200, 0.081930, 0.088880, 0.081890, 0.082840, 4898686.018438
1589241600, 0.082840, 0.086310, 0.082670, 0.085000, 2597997.903227
1589328000, 0.084970, 0.087780, 0.083310, 0.085870, 2949138.938525
1589414400, 0.085850, 0.087800, 0.084420, 0.086140, 2936108.952973
1589500800, 0.086140, 0.086850, 0.083120, 0.083760, 2994613.399241
1589587200, 0.083170, 0.085880, 0.080000, 0.082460, 5576935.780516
1589673600, 0.082420, 0.084000, 0.082100, 0.082530, 2606293.887966
1589760000, 0.082560, 0.085400, 0.081200, 0.083500, 4918624.563749
1589846400, 0.083510, 0.084030, 0.080000, 0.082240, 3359356.058482
1589932800, 0.082230, 0.085710, 0.080020, 0.082890, 4607849.996959
1590019200, 0.082880, 0.083980, 0.075910, 0.079890, 4024971.800701
1590105600, 0.079880, 0.084650, 0.076710, 0.083100, 5324331.588129
1590192000, 0.082900, 0.085290, 0.082110, 0.083820, 2928287.888256
1590278400, 0.083810, 0.085190, 0.082010, 0.082030, 3400301.886091
1590364800, 0.082030, 0.084280, 0.081720, 0.082700, 2383036.255048
1590451200, 0.082720, 0.085160, 0.082690, 0.084300, 5190062.733698
1590537600, 0.084280, 0.085010, 0.082690, 0.083690, 2643045.331308
1590624000, 0.083780, 0.084730, 0.083320, 0.084630, 2537095.162281
1590710400, 0.084640, 0.085710, 0.083650, 0.084880, 3759767.086663
1590796800, 0.084880, 0.093870, 0.084640, 0.092590, 6659576.537147
1590883200, 0.092520, 0.092520, 0.086330, 0.088020, 4934616.824767
1590969600, 0.088010, 0.092140, 0.087700, 0.092140, 4811205.543354
1591056000, 0.091310, 0.092480, 0.088000, 0.090590, 5872854.146338
1591142400, 0.090610, 0.092850, 0.089210, 0.090240, 3509969.579387
1591228800, 0.090900, 0.092740, 0.090000, 0.091430, 3740224.434754
1591315200, 0.091400, 0.092790, 0.090300, 0.091510, 2642706.063878
1591401600, 0.091160, 0.092640, 0.090670, 0.091240, 2422424.057862
1591488000, 0.091210, 0.092850, 0.091000, 0.091630, 2754326.595553
1591574400, 0.091620, 0.099840, 0.091470, 0.098990, 6068723.313288
1591660800, 0.098940, 0.099500, 0.092850, 0.098260, 4780840.682116
1591747200, 0.098220, 0.099230, 0.097270, 0.098430, 3077396.770989
1591833600, 0.098400, 0.114280, 0.098300, 0.103810, 13012448.907061
1591920000, 0.104570, 0.110880, 0.102850, 0.110080, 6967292.590711
1592006400, 0.110050, 0.110400, 0.107280, 0.109510, 2927511.768625
1592092800, 0.109430, 0.110850, 0.098000, 0.102500, 4929260.423666
1592179200, 0.102490, 0.103550, 0.094700, 0.101820, 4514665.260694
1592265600, 0.101810, 0.108500, 0.101500, 0.107840, 3024245.422852
1592352000, 0.107810, 0.109760, 0.101500, 0.104710, 3078042.856137
1592438400, 0.104700, 0.105080, 0.102700, 0.103260, 1691171.537013
1592524800, 0.103230, 0.105420, 0.100000, 0.104600, 3320891.340264
1592611200, 0.104560, 0.106420, 0.102850, 0.104500, 2919351.201293
1592697600, 0.104880, 0.106610, 0.104000, 0.104620, 1920662.431535
1592784000, 0.104500, 0.109490, 0.104420, 0.108360, 2985063.869060
1592870400, 0.107600, 0.117680, 0.105980, 0.112740, 5993765.143010
1592956800, 0.112870, 0.117020, 0.110700, 0.113410, 4870660.747877
1593043200, 0.112800, 0.115000, 0.110220, 0.114820, 3066531.908015
1593129600, 0.114500, 0.123770, 0.114110, 0.123170, 6532903.108179
